film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q73803,Rust and Bone,http://commons.wikimedia.org/wiki/Special:FilePath/De%20rouille%20et%20d%27os%20Cannes%202012%202.jpg,Jacques Audiard,127
http://www.wikidata.org/entity/Q74636,Whiteout,http://commons.wikimedia.org/wiki/Special:FilePath/SPSM.05.jpg,Dominic Sena,97
http://www.wikidata.org/entity/Q75569,Oh! Sabella,http://commons.wikimedia.org/wiki/Special:FilePath/Sabella%20palumbo.jpg,Dino Risi,95
http://www.wikidata.org/entity/Q76479,A Fistful of Dollars,http://commons.wikimedia.org/wiki/Special:FilePath/Clint%20Eastwood%20-%201960s.JPG,Sergio Leone,99
http://www.wikidata.org/entity/Q76479,A Fistful of Dollars,http://commons.wikimedia.org/wiki/Special:FilePath/Clint%20Eastwood%20-%201960s.JPG,Monte Hellman,99
http://www.wikidata.org/entity/Q77597,Black City,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20re%20di%20Poggioreale%20-%20Ernest%20Borgnine.png,Duilio Coletti,113
http://www.wikidata.org/entity/Q80204,Anna Karenina,http://commons.wikimedia.org/wiki/Special:FilePath/ANNAKARENINA2012LETTERS.jpg,Joe Wright,130
http://www.wikidata.org/entity/Q80557,Illustrious Corpses,http://commons.wikimedia.org/wiki/Special:FilePath/Cadaveri%20eccellenti%20Rosi.png,Francesco Rosi,120
http://www.wikidata.org/entity/Q80617,My Friends,http://commons.wikimedia.org/wiki/Special:FilePath/Amici%20miei%2018.png,Mario Monicelli,113
http://www.wikidata.org/entity/Q81044,Step Up Revolution,http://commons.wikimedia.org/wiki/Special:FilePath/Cultural%20Center%20in%20Sanok%20entry%20hall%20box%20office.jpg,Scott Speer,97
http://www.wikidata.org/entity/Q81995,Dillinger,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Phillips%20and%20Warren%20Oates%20Dillinger%201975.jpg,John Milius,107
http://www.wikidata.org/entity/Q82860,The Italian Brigands,http://commons.wikimedia.org/wiki/Special:FilePath/I%20briganti%20italiani%20-%20Vittorio%20Gassman.jpg,Mario Camerini,108
http://www.wikidata.org/entity/Q83495,The Matrix,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.1.png,Lilly Wachowski,136
http://www.wikidata.org/entity/Q83495,The Matrix,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.1.png,Lana Wachowski,136
http://www.wikidata.org/entity/Q83739,The Ladykillers,http://commons.wikimedia.org/wiki/Special:FilePath/The-ladykillers-2004.png,Joel Coen,104
http://www.wikidata.org/entity/Q83739,The Ladykillers,http://commons.wikimedia.org/wiki/Special:FilePath/The-ladykillers-2004.png,Ethan Coen,104
http://www.wikidata.org/entity/Q83767,The Blue Lagoon,http://commons.wikimedia.org/wiki/Special:FilePath/Lgoon.jpg,Randal Kleiser,101
http://www.wikidata.org/entity/Q93512,Water Lilies,http://commons.wikimedia.org/wiki/Special:FilePath/Synchronized%20swimming%20-%20jumping.jpg,Céline Sciamma,81
http://www.wikidata.org/entity/Q93741,La Maison jaune,http://commons.wikimedia.org/wiki/Special:FilePath/Amor%20Hakkar.jpg,Amor Hakkar,85
http://www.wikidata.org/entity/Q94686,Kiki,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Pickford%20in%20Kiki%201931.jpg,Sam Taylor,87
http://www.wikidata.org/entity/Q102225,Harry Potter and the Goblet of Fire,http://commons.wikimedia.org/wiki/Special:FilePath/Dragon%20Challenge%2019.jpg,Mike Newell,151
http://www.wikidata.org/entity/Q102235,Harry Potter and the Order of the Phoenix,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter%20wordmark.svg,David Yates,133
http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter%20wordmark.svg,Chris Columbus,161
http://www.wikidata.org/entity/Q102754,Dr. No,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80%20%D0%9D%D0%BE%D1%83%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%201962%20%D1%81%D0%BA%D1%80%D0%B8%D0%BD%20%D0%B7%D0%B0%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%205.jpg,Terence Young,105
